site_name,site_no,structure_type,structure_no,structure_sp,dbh,decay_class,vexar,photo_no,utm_x,utm_y
Horton,1,3,31,,,,0,A2319,,
Horton,1,3,32,,,,0,A2320,,
Horton,1,3,33,,,,0,A2321,,
Horton,1,3,28,,,,0,B1705,,
Horton,1,3,19,,,,1,A2295,,
Horton,1,3,4,,,,1,A2303,,
Horton,1,3,18,,,,1,A2308,,
Horton,1,3,16,,,,0,A2305,,
Horton,1,3,1,,,,1,B1612,,
Horton,1,3,2,,,,1,B1676,,
Horton,1,3,3,,,,0,B1691,,
Horton,1,3,5,,,,1,A2287,,
Horton,1,3,6,,,,0,B1710,,
Horton,1,3,7,,,,0,B1690,,
Horton,1,3,8,,,,0,B1688,,
Horton,1,3,10,,,,0,B1683/B1684,,
Horton,1,3,9,,,,0,B1682,,
Horton,1,3,11,,,,1,B1677,,
Horton,1,3,12,,,,1,B1714,,
Horton,1,3,13,,,,1,B1687,,
Horton,1,3,14,,,,1,B1689,,
Horton,1,3,15,,,,1,B1685,,
Horton,1,3,17,,,,1,B1703,,
Horton,1,3,20,,,,0,A2290,,
Horton,1,3,21,,,,1,A2282,,
Horton,1,3,22,,,,0,B1712,,
Horton,1,3,23,,,,0,A2302,,
Horton,1,3,24,,,,1,A2301,,
Horton,1,3,25,,,,0,A2304,,
Horton,1,3,26,,,,1,B1701,,
Horton,1,3,27,,,,0,A2299,,
Horton,1,3,29,,,,0,A2300,,
Horton,1,3,30,,,,0,A2283,,
Horton ,1,1,2,PSME,34,1,1,A2277,,
Horton ,1,1,27,PSME,45.5,1,1,A2307/A2306,,
Horton ,1,1,23,PSME,25,2,1,B1716,,
Horton ,1,1,18,PSME,45,1,0,A2292,,
Horton ,1,1,22,PSME,53,1,1,A2275-A2276,,
Horton ,1,1,1,PSME,25,2,0,B1695,,
Horton ,1,1,4,PIPO,66,0,1,B1686,,
Horton ,1,1,5,PSME,23.5,1,0,A2289,,
Horton ,1,1,6,PSME,19.5,2,0,B1711,,
Horton ,1,1,7,PSME,38,2,0,B1204,,
Horton ,1,1,8,UNK,33,3,0,B1702,,
Horton ,1,1,9,PSME,44,1,0,A2280-A2281,,
Horton ,1,1,10,PSME,27,1,1,A2286,,
Horton ,1,1,11,PSME,45,1,0,B1721,,
Horton ,1,1,12,PIPO,37,1,1,A2309,,
Horton ,1,1,13,PSME,35,2,0,B1696,,
Horton ,1,1,14,PSME,27.5,1,1,A2285,,
Horton ,1,1,15,PSME,40.5,1,1,A2279,,
Horton ,1,1,16,PSME,33,2,0,B1715,,
Horton ,1,1,17,PSME,22,2,1,A2317,,
Horton ,1,1,19,POTR,22.5,3,1,A2278,,
Horton ,1,1,20,PSME,28.5,2,1,B1706,,
Horton ,1,1,21,PSME,56.5,2,0,B1693,,
Horton ,1,1,24,PSME,34,2,1,A2313,,
Horton ,1,1,24,PSME,34,2,1,A2314,,
Horton ,1,1,24,PSME,34,2,1,A2315,,
Horton ,1,1,24,PSME,34,2,1,A2316,,
Horton ,1,1,25,PIPO,35,2,0,A2318,,
Horton ,1,1,26,PIPO,23.5,2,1,B1698,,
Horton ,1,1,28,PSME,23.5,2,0,B1717,,
Horton ,1,1,29,PIPO,62,0,0,B1713,,
Horton ,1,1,30,PIPO,33.5,1,1,A2297,,
Horton ,1,2,30,UNK,,3,1,B1720,,
Horton ,1,2,1,PIPO,,3,0,A2270,,
Horton ,1,2,2,UNK,,3,1,B1678,,
Horton ,1,2,3,PIPO,,2,1,A2272,,
Horton ,1,2,4,POTR,,2,1,A2291,,
Horton ,1,2,5,PIPO,,3,1,B1679,,
Horton ,1,2,6,UNK,,3,0,A2310,,
Horton ,1,2,7,PIPO,,2,1,A2271,,
Horton ,1,2,8,PIPO,,1,1,B1680,,
Horton ,1,2,9,UNK,,4,0,A2298,,
Horton ,1,2,10,UNK,,3,0,B1718,,
Horton ,1,2,11,PSME,,1,0,A2273,,
Horton ,1,2,12,UNK,,3,1,B1675,,
Horton ,1,2,13,PIPO,,2,0,B1681,,
Horton ,1,2,14,PSME,,2,1,A2274,,
Horton ,1,2,15,PIPO,,3,1,A2296,,
Horton ,1,2,17,PSME,,3,0,A2294,,
Horton ,1,2,19,PSME,,1,1,A2284,,
Horton ,1,2,21,PSME,,2,1,A2293,,
Horton ,1,2,23,UNK,,3,0,B1719,,
Horton ,1,2,24,PSME,,2,1,A2311,,
Horton ,1,2,25,POTR,,2,1,A2288,,
Horton ,1,2,27,POTR,,3,0,A2312,,
Luna,1,2,21,UNK,,2,0,A2265,,
Luna,1,3,19,,,,0,A2266,,
Luna,1,2,19,ABCO,,2,0,A2264,,
Luna,1,2,22,UNK,,2,0,A2263,,
Luna,1,1,23,UNK,22,,0,B1674,,
Luna,1,2,25,AB sp,,2,1,A2262,,
Luna,1,2,29,AB sp,,3,1,A2261,,
Luna,1,2,17,AB sp,,2,0,A2260,,
Luna ,1,3,3,,,,1,B1623,,
Luna,1,1,20,AB sp,34,3,0,B1671,,
Luna,1,1,3,AB sp,34,2,1,B1670,,
Luna,1,1,5,AB sp,30.5,3,0,B1669,,
Luna,1,1,7,PI sp,29,3,1,B1668,,
Luna,1,3,20,,,,0,B1667,,
Luna,1,1,15,PI sp,29,3,0,B1666,,
Luna,1,1,14,UNK,18,3,0,B1665,,
Luna,1,3,11,,,,1,B1664,,
Luna,1,1,16,AB sp,25.5,3,0,B1663,,
Luna,1,2,16,UNK,,2,0,A2268,,
Luna,1,3,29,,,,0,A2267,,
Luna,1,2,4,PI sp ,,2,1,A2231,,
Luna,1,2,9,,,2,0,A1639,,
Luna,1,2,3,PI sp,,2,0,A2222,,
Luna,1,2,12,PI sp,,2,0,A2225,,
Luna,1,2,27,UNK,,3,0,A2251,,
Luna,1,2,8,PI sp,,2,0,B1659,,
Luna,1,2,14,AB sp,,2,1,A2246,,
Luna,1,2,6,AB sp,,2,0,A2240,,
Luna,1,2,23,UNK,,2,0,A2254,,
Luna,1,2,24,PI sp,,2,0,B1645,,
Luna,1,2,13,AB sp,,2,0,A2244,,
Luna ,1,2,10,AB sp,,2,0,A2241,,
Luna,1,2,2,UNK,,2,1,A2235,,
Luna,1,2,18,PI sp ,,2,0,B1647,,
Luna,1,2,28,PI sp,,2,1,B1646,,
Luna,1,2,20,PI sp ,,2,1,B1644,,
Luna,1,2,30,AB sp,,2,1,A2252,,
Luna,1,2,15,UNK,,,1,A2237,,
Luna,1,2,26,AB sp,,2,1,A2255,,
Luna,1,2,2,,,2,0,A1640,,
Luna,1,2,7,,,2,0,B1637,,
Luna,1,2,5,PI sp,,2,1,A2223,,
Luna,1,2,11,UNK,,2,1,A2234,,
Luna,1,1,4,ABCO,36.5,3,1,B1635,,
Luna,1,1,12,PI sp ,37.5,3,1,B1631,,
Luna,1,1,13,AB sp,36.5,2,0,A2229,,
Luna,1,1,10,UNK,30,2,0,A2245,,
Luna,1,1,9,AB sp ,28,2,1,A2242,,
Luna,1,1,30,AB sp,33.5,3,1,B1661,,
Luna,1,1,25,PI sp ,27.5,3,0,B1654,,
Luna,1,1,27,AB sp ,29.5,3,0,B1653,,
Luna,1,1,29,AB sp ,30.5,3,1,B1651,,
Luna,1,1,26,AB sp ,30,3,0,B1642,,
Luna,1,1,8,AB sp ,21,3,1,B1649,,
Luna,1,1,1,PI sp ,30.5,3,0,B1629,,
Luna,1,1,6,PIEN / PSME,27.5,3,1,B1638,,
Luna,1,1,11,PI sp ,35,2,0,A2226,,
Luna,1,1,21,AB sp ,39.5,2,0,A2256,,
Luna,1,1,20,AB sp ,27,3,0,B1660,,
Luna,1,1,28,AB sp ,32.5,3,0,B1652,,
Luna,1,1,22,AB sp ,28.5,3,1,B1643,,
Luna,1,3,12,,,,0,A2239,,
Luna,1,1,19,AB sp ,40.5,2,1,B1656,,
Luna,1,1,17,PI sp,44,3,0,B1648,,
Luna,1,3,22,,,,1,A2238,,
Luna,1,3,5,,,,1,A2228,,
Luna,1,3,2,,,,0,B1630,,
Luna,1,3,28,,,,0,B1634,,
Luna,1,3,23,,,,1,A2233,,
Luna,1,3,21,,,,0,A2232,,
Luna,1,3,8,,,,0,A2227,,
Luna,1,3,6,,,,1,A2249,,
Luna,1,3,10,,,,0,A2248,,
Luna,1,3,4,,,,0,A2243,,
Luna,1,3,15,,,,1,B1662,,
Luna,1,3,17,,,,1,B1658,,
Luna,1,3,25,,,,1,B1657,,
,,3,24,,,,1,B1650,,
,,3,30,,,,1,B1641,,
Luna,1,3,14,,,,1,A2230,,
Luna,1,3,1,,,,1,B1628,,
Luna,1,3,13,,,,0,B1633,,
Luna,1,3,18,,,,0,A2259,,
Luna,1,3,16,,,,1,A2257,,
Luna,1,3,26,,,,0,B1655,,
Luna,1,3,27,,,,1,A2236,,
Pack Creek,,1,14,PIEN ,35,2,0,1544,,
Pack Creek,,1,10,PIEN ,42.5,2,1,1524,,
Pack Creek,,1,6,PIEN ,44.6,2,0,5873,,
Pack Creek,,1,5,ABLA,19,2,0,5875,,
Pack Creek,,1,21,UNK,33,2,1,1556,,
Pack Creek,,1,31,ABLA,35,2,0,1573,,
Pack Creek,,1,32,UNK,33.5,2,1,1574,,
Pack Creek,,1,33,UNK,41.5,2,1,1576,,
Pack Creek,,1,34,UNK,39.5,2,1,1582,,
Pack Creek,,1,35,UNK,38,2,1,1590,,
Pack Creek,,1,38,PIEN ,47,2,0,1599,,
Pack Creek,,1,30,PIEN ,33,2,0,1567,,
Pack Creek,,1,31,PIEN ,61,2,0,1568,,
Pack Creek ,,1,45,PIEN ,46,2,1,1625,,
Pack Creek ,,1,43,UNK,34,2,0,1621,,
Pack Creek ,,1,40,ABLA,30.5,2,1,1604,,
Pack Creek ,,1,37,UNK,27,2,1,1596,,
Pack Creek,,1,18,ABLA,26.5,2,0,1551,,
Pack Creek ,,1,39,UNK,44.5,2,0,1600,,
Pack Creek ,,1,42,PIEN ,44.5,2,1,1615,,
Pack Creek ,,1,44,UNK,30.5,2,1,1624,,
Pack Creek ,,1,29,UNK,37.5,2,1,1564,,
Pack Creek ,,1,26,ABLA,17.9,2,0,1561,,
Pack Creek ,,1,23,ABLA,24.5,2,0,1559,,
Pack Creek ,,1,22,UNK,19.5,2,1,1557,,
Pack Creek,,1,20,ABLA,32,2,1,1555,,
Pack Creek ,,1,19,UNK,30,2,0,1553,,
Pack Creek ,,1,12,ABLA,22.5,2,1,1529,,
Pack Creek ,,1,11,ABLA,22.5,2,0,1528,,
Pack Creek ,,1,13,ABLA,21,2,0,1536,,
Pack Creek ,,1,7,ABLA,19.7,2,1,104.1516,,
Pack Creek,,1,15,UNK,25,4,0,1546,,
Pack Creek ,,1,16,ABLA,22,2,1,1547,,
Pack Creek ,,1,36,ABLA,29.5,2,0,1592,,
Pack Creek ,,1,25,ABLA,17.9,2,0,1560,,
Pack Creek ,,1,24,ABLA,21.6,2,0,1562,,
Pack Creek,,1,17,UNK,49.5,2,1,1548,,
Pack Creek ,,1,41,ABLA,26.8,2,1,1609,,
Pack Creek ,,3,16,,,,0,1542,,
Pack Creek ,,3,8,,,,0,104-1517,,
Pack Creek ,,3,17,,,,0,1537,,
Pack Creek ,,3,4,,,,1,,,
Pack Creek ,,3,22,,,,1,1570,,
Pack Creek ,,3,22,,,,1,1575,,
Pack Creek ,,3,23,,,,1,1579,,
Pack Creek ,,3,28,,,,0,1595,,
Pack Creek ,,3,20,,,,0,1565,,
Pack Creek,,3,21,,,,1,1569,,
Pack Creek,,3,26,,,,1,1591,,
Pack Creek,,3,25,,,,0,1585,,
Pack Creek ,,3,24,,,,0,1583,,
Pack Creek,,3,29,,,,1,1602,,
Pack Creek ,,3,30,,,,0,1605,,
Pack Creek,,3,31,,,,1,1610,,
Pack Creek,,3,34,,,,0,1619,,
Pack Creek ,,3,37,,,,0,1626,,
Pack Creek ,,3,36,,,,1,1623,,
Pack Creek ,,3,32,,,,0,1612,,
Pack Creek,,3,35,,,,0,1662,,
Pack Creek ,,3,33,,,,1,1617,,
Pack Creek ,,3,27,,,,1,1598,,
Pack Creek ,,3,,,,,1,1549,,
Pack Creek ,,3,7,,,,1,5876 (104-1514,,
Pack Creek ,,3,19,,,,,1552,,
Pack Creek,,3,9,,,,1,104-1521,,
Pack Creek ,,3,13,,,,0,1525,,
Pack Creek,,3,14,,,,0,1530,,
Pack Creek,,3,12,,,,0,1527,,
Pack Creek ,,3,15,,,,0,1531,,
Pack Creek,,2,15,ABLA,,3,0,1545,,
Pack Creek,,2,14,UNKN,,4,1,1543,,
Pack Creek,,2,9,UNKN,,3,1,1526,,
Pack Creek,,2,9,UNK ,,3,0,1522,,
Pack Creek,,2,5,UNK,,3,1,104-1518,,
Pack Creek ,,2,,UNK,,3,1,1550,,
Pack Creek,,2,18,UNKN,,3,0,1563,,
Pack Creek,,2,20,UNK,,4,1,1571,,
Pack Creek,,2,21,UNK,,3,0,1577,,
Pack Creek,,2,22,UNK,,3,0,1578,,
Pack Creek,,2,23,UNK,,3,1,1580,,
Pack Creek,,2,24,UNK,,3,1,1581,,
Pack Creek,,2,26,UNK,,3,0,1584,,
Pack Creek,,2,27,UNK,,3,1,1593,,
Pack Creek,,2,28,UNK,,3,0,1594,,
Pack Creek ,,2,19,UNK,,3,0,1566,,
Pack Creek,,2,37,ABLA,,3,0,1618,,
Pack Creek,,2,36,ABLA,,3,1,1616,,
Pack Creek,,2,35,ABLA,,3,1,1614,,
Pack Creek,,2,34,ABLA,,3,0,1613,,
Pack Creek,,2,33,ABLA,,3,1,1611,,
Pack Creek,,2,32,UNK,,3,0,1608,,
Pack Creek ,,2,31,UNK,,3,0,1606,,
Pack Creek,,2,30,UNK,,3,0,1601,,
Pack Creek,,2,29,UNK,,3,1,1597,,
Pack Creek ,,2,12,UNK,,4,0,1534,,
Pack Creek,,2,17,UNK,,3,0,1554,,
Pack Creek,,2,7,UNK,,3,0,1523,,
Pack Creek,,2,10,UNK,,3,0,1532,,
Pack Creek,,2,11,UNK,,4,0,1533,,
Pack Creek,,2,13,UNK,,3,1,1535,,
Pack Creek,,2,4,UNK,,4,0,104-1513,,
Pack Creek,,2,6,UNKN,,3,0,104-1519,,
Pack Creek,,1,9,ABLA,48.5,2,1,11:57 (SK),,
Pack Creek,,3,11,,,,0,11:36 (SK),,
Pack Creek ,,3,10,,,,0,11:26 (SK),,
Pack Creek,,1,8,ABLA,26.5,2,0,11:15 (SK) ,,
