site_name,site_no,structure,structure_id,structure_no,structure_sp,dbh,decay,vexar,planter,recorder,photo_no,tag_id,measurement_id,height,height_2,rcd,rcd_2,azimuth,dist,log_ht,status,herbiv,comp_sp,comp_dist,comp_ht,grass,forb,shrub,rock,cwd,litter,bare_soil,moss,root,other,cvr_total,notes
Horton,1,open,3331,31,,,,0,CAE,"KBK,CAE,IM",A2319,2213,2213-01,22,,2,,,,,,,,,,25,10,,11,14,37,3,,,,100,
Horton,1,open,3331,31,,,,0,CAE,"KBK,CAE,IM",A2319,2246,2246-01,22,,4,,,,,,,,,,7,15,,20,2,22,34,,,,100,
Horton,1,open,3331,31,,,,0,CAE,"KBK,CAE,IM",A2319,2214,2214-01,26,,4,,,,,,,,,,6,22,,13,4,30,15,,,,90,
Horton,1,open,3331,31,,,,0,CAE,"KBK,CAE,IM",A2319,2237,2237-01,23,,3,,,,,,,,,,13,8,,13,13,40,13,,,,100,
Horton,1,open,3332,32,,,,0,IM,"KBK,CAE",A2320,2235,2235-01,20,,4,,,,,,,,,,26,8,,7,3,55,1,,,,100,
Horton,1,open,3332,32,,,,0,IM,"KBK,CAE",A2320,2211,2211-01,23,,2,,,,,,,,,,18,5,,23,5,43,6,,,,100,
Horton,1,open,3332,32,,,,0,IM,"KBK,CAE",A2320,2250,2250-01,18,,3,,,,,,,,,,25,5,,11,4,53,2,,,,100,
Horton,1,open,3332,32,,,,0,IM,"KBK,CAE",A2320,2215,2215-01,19,,3,,,,,,,,,,50,2,,6,4,36,2,,,,100,
Horton,1,open,3333,33,,,,0,"CAE, KBK","KBK,CAE",A2321,2212,2212-01,16,,4,,,,,,,,,,,18,,6,3,66,7,,,,100,
Horton,1,open,3333,33,,,,0,"CAE, KBK","KBK,CAE",A2321,2227,2227-01,19,,3,,,,,,,,,,12,13,15,8,2,38,12,,,,100,
Horton,1,open,3333,33,,,,0,"CAE, KBK","KBK,CAE",A2321,2242,2242-01,21.5,,4,,,,,,,,,,2,22,13,8,4,41,10,,,,100,
Horton,1,open,3333,33,,,,0,"CAE, KBK","KBK,CAE",A2321,2210,2210-01,23,,3,,,,,,,,,,14,,2,4,,75,5,,,,100,
Horton,1,open,3328,28,,,,0,SK,"IM, SK",B1705,2331,2331-01,18,,3,,,,,,,,,,1,2,,25,5,47,20,,,,100,
Horton,1,open,3328,28,,,,0,SK,"IM, SK",B1705,2103,2103-01,26,,3.5,,,,,,,,,,,2,,15,,83,,,,,100,
