Site_Info,,Structure_Info,,,,,,,,,Seedling_Info,,,,,,Competition,,,Cover,,,,,,,,,,,
SITE_NAME,SITE_NO,STRUCTURE_TYPE,STRUCTURE_NO,STRUCTURE_SP,DBH,DECAY_CLASS,VEXAR,PLANTER_NAME,RECORDER_NAME,PHOTO_NO,TAG_ID,HEIGHT,RCD,AZIMUTH,DIST,LOG_HT,SPECIES,DIST,HEIGHT,GRASS,FORB,SHRUB,ROCK,CWD,LITTER,BARE_SOIL,MOSS,SNAG/ROOT,OTHER,TOTAL,NOTES
Horton,1,3,31,,,,0,CAE,"KBK,CAE,IM",A2319,2213,22,2,,,,,,,25,10,,11,14,37,3,,,,100,
Horton,1,3,31,,,,0,CAE,"KBK,CAE,IM",A2319,2246,22,4,,,,,,,7,15,,20,2,22,34,,,,100,
Horton,1,3,31,,,,0,CAE,"KBK,CAE,IM",A2319,2214,26,4,,,,,,,6,22,,13,4,30,15,,,,90,
Horton,1,3,31,,,,0,CAE,"KBK,CAE,IM",A2319,2237,23,3,,,,,,,13,8,,13,13,40,13,,,,100,
Horton,1,3,32,,,,0,IM,"KBK,CAE",A2320,2235,20,4,,,,,,,26,8,,7,3,55,1,,,,100,
Horton,1,3,32,,,,0,IM,"KBK,CAE",A2320,2211,23,2,,,,,,,18,5,,23,5,43,6,,,,100,
Horton,1,3,32,,,,0,IM,"KBK,CAE",A2320,2250,18,3,,,,,,,25,5,,11,4,53,2,,,,100,
Horton,1,3,32,,,,0,IM,"KBK,CAE",A2320,2215,19,3,,,,,,,50,2,,6,4,36,2,,,,100,
Horton,1,3,33,,,,0,"CAE, KBK","KBK,CAE",A2321,2212,16,4,,,,,,,,18,,6,3,66,7,,,,100,
Horton,1,3,33,,,,0,"CAE, KBK","KBK,CAE",A2321,2227,19,3,,,,,,,12,13,15,8,2,38,12,,,,100,
Horton,1,3,33,,,,0,"CAE, KBK","KBK,CAE",A2321,2242,21.5,4,,,,,,,2,22,13,8,4,41,10,,,,100,
Horton,1,3,33,,,,0,"CAE, KBK","KBK,CAE",A2321,2210,23,3,,,,,,,14,,2,4,,75,5,,,,100,
Horton,1,3,28,,,,0,SK,"IM, SK",B1705,2331,18,3,,,,,,,1,2,,25,5,47,20,,,,100,
Horton,1,3,28,,,,0,SK,"IM, SK",B1705,2103,26,3.5,,,,,,,,2,,15,,83,,,,,100,
Horton,1,3,28,,,,0,SK,"IM, SK",B1705,2332,18,4,,,,,,,,,,20,5,60,5,10,,,100,
Horton,1,3,28,,,,0,SK,"IM, SK",B1705,2330,14,3,,,,,,,8,10,,,8,64,10,,,,100,
Horton,1,3,19,,,,1,JL,"KBK, CAE",A2295,2457,29,4,,,,,,,10,26,,20,4,20,20,,,,100,
Horton,1,3,19,,,,1,JL,"KBK, CAE",A2295,2460,25,4,,,,,,,35,15,,10,4,26,10,,,,100,
Horton,1,3,19,,,,1,JL,"KBK, CAE",A2295,2476,27,3,,,,,,,8,20,,15,2,25,30,,,,100,
Horton,1,3,19,,,,1,JL,"KBK, CAE",A2295,2471,22,3,,,,,,,26,8,,12,5,44,5,,,,100,
Horton,1,3,4,,,,1,IM,"KBK, CAE",A2303,2491,32,5,,,,,,,,10,,5,3,67,15,,,,100,
Horton,1,3,4,,,,1,IM,"KBK, CAE",A2303,2494,36,4,,,,,,,,27,,10,3,25,35,,,,100,
Horton,1,3,4,,,,1,IM,"KBK, CAE",A2303,2487,22,4,,,,,,,1,26,10,,,43,20,,,,100,
Horton,1,3,4,,,,1,IM,"KBK, CAE",A2303,2495,25,5,,,,,,,,25,,12,3,27,33,,,,100,
Horton,1,3,18,,,,1,JL,"JL, CAE",A2308,2275,29,4,,,,,,,6,6,,19,2,57,10,,,,100,
Horton,1,3,18,,,,1,JL,"JL, CAE",A2308,2288,22,2,,,,,,,8,12,,6,6,53,15,,,,100,
Horton,1,3,18,,,,1,JL,"JL, CAE",A2308,2473,16,2,,,,,,,15,22,,3,3,51,6,,,,100,
Horton,1,3,18,,,,1,JL,"JL, CAE",A2308,2447,23,3,,,,,,,7,24,,18,6,28,17,,,,100,
Horton,1,3,16,,,,0,IM,"JL, CAE",A2305,2442,28,4,,,,,,,2,32,,10,2,44,10,,,,100,
Horton,1,3,16,,,,0,IM,"JL, CAE",A2305,2293,29,5,,,,,,,38,2,,10,3,39,8,,,,100,
Horton,1,3,16,,,,0,IM,"JL, CAE",A2305,2351,25,4,,,,,,,,54,,10,3,25,8,,,,100,
Horton,1,3,16,,,,0,IM,"JL, CAE",A2305,2292,24,4,,,,,,,,30,,15,2,30,23,,,,100,
Horton,1,3,1,,,,1,KBK,"IM, SK",B1612,2577,21,4,,,,,,,,5,,10,5,60,20,,,,100,
Horton,1,3,1,,,,1,KBK,"IM, SK",B1612,2375,27,3,,,,,,,,5,,10,,10,10,65,,,100,
Horton,1,3,1,,,,1,KBK,"IM, SK",B1612,2379,20.5,3,,,,,,,2,2,,10,5,5,5,71,,,100,
Horton,1,3,1,,,,1,KBK,"IM, SK",B1612,2362,26,3,,,,,,,,,,10,5,5,5,75,,,100,
Horton,1,3,2,,,,1,UNK,"JL, SK",B1676,2151,17.5,3,,,,,,,10,4,,5,,81,,,,,100,
Horton,1,3,2,,,,1,UNK,"JL, SK",B1676,2162,18,4.5,,,,,,,5,8,,5,,82,,,,,100,
Horton,1,3,2,,,,1,UNK,"JL, SK",B1676,2168,17.5,3,,,,,,,5,40,,5,,50,,,,,100,
