tag_id,measurement_type,date,height,rcd,site_name,structure_no,structure_type,recorder,status,herbivory
2213,,,22,2,Horton,31,3,"KBK,CAE,IM",,
2246,,,22,4,Horton,31,3,"KBK,CAE,IM",,
2214,,,26,4,Horton,31,3,"KBK,CAE,IM",,
2237,,,23,3,Horton,31,3,"KBK,CAE,IM",,
2235,,,20,4,Horton,32,3,"KBK,CAE",,
2211,,,23,2,Horton,32,3,"KBK,CAE",,
2250,,,18,3,Horton,32,3,"KBK,CAE",,
2215,,,19,3,Horton,32,3,"KBK,CAE",,
2212,,,16,4,Horton,33,3,"KBK,CAE",,
2227,,,19,3,Horton,33,3,"KBK,CAE",,
2242,,,21.5,4,Horton,33,3,"KBK,CAE",,
2210,,,23,3,Horton,33,3,"KBK,CAE",,
2331,,,18,3,Horton,28,3,"IM, SK",,
2103,,,26,3.5,Horton,28,3,"IM, SK",,
2332,,,18,4,Horton,28,3,"IM, SK",,
2330,,,14,3,Horton,28,3,"IM, SK",,
2457,,,29,4,Horton,19,3,"KBK, CAE",,
2460,,,25,4,Horton,19,3,"KBK, CAE",,
2476,,,27,3,Horton,19,3,"KBK, CAE",,
2471,,,22,3,Horton,19,3,"KBK, CAE",,
2491,,,32,5,Horton,4,3,"KBK, CAE",,
2494,,,36,4,Horton,4,3,"KBK, CAE",,
2487,,,22,4,Horton,4,3,"KBK, CAE",,
2495,,,25,5,Horton,4,3,"KBK, CAE",,
2275,,,29,4,Horton,18,3,"JL, CAE",,
2288,,,22,2,Horton,18,3,"JL, CAE",,
2473,,,16,2,Horton,18,3,"JL, CAE",,
2447,,,23,3,Horton,18,3,"JL, CAE",,
2442,,,28,4,Horton,16,3,"JL, CAE",,
2293,,,29,5,Horton,16,3,"JL, CAE",,
2351,,,25,4,Horton,16,3,"JL, CAE",,
2292,,,24,4,Horton,16,3,"JL, CAE",,
2577,,,21,4,Horton,1,3,"IM, SK",,
2375,,,27,3,Horton,1,3,"IM, SK",,
2379,,,20.5,3,Horton,1,3,"IM, SK",,
2362,,,26,3,Horton,1,3,"IM, SK",,
2151,,,17.5,3,Horton,2,3,"JL, SK",,
2162,,,18,4.5,Horton,2,3,"JL, SK",,
2168,,,17.5,3,Horton,2,3,"JL, SK",,
2165,,,17,2.5,Horton,2,3,"JL, SK",,
2383,,,13.5,5,Horton,3,3,"IM, SK",,
2368,,,16.5,3,Horton,3,3,"IM, SK",,
2372,,,23,3,Horton,3,3,"IM, SK",,
2386,,,12.5,3,Horton,3,3,"IM, SK",,
2395,,,16,3,Horton,5,3,"KBK, CAE",,
2393,,,22,3,Horton,5,3,"KBK, CAE",,
2392,,,21,3,Horton,5,3,"KBK, CAE",,
406,,,22,4,Horton,5,3,"KBK, CAE",,
2328,,,22,2.5,Horton,6,3,"IM, SK",,
2343,,,23.5,3,Horton,6,3,"IM, SK",,
2352,,,22.5,3,Horton,6,3,"IM, SK",,
2358,,,19.5,3,Horton,6,3,"IM, SK",,
2384,,,16,2,Horton,7,3,"JL, SK",,
2376,,,23,3,Horton,7,3,"JL, SK",,
2366,,,19.5,4.5,Horton,7,3,"JL, SK",,
866,,,26.5,3,Horton,7,3,"JL, SK",,
2370,,,24.5,4,Horton,8,3,"JL, SK",,
2381,,,16.5,4,Horton,8,3,"JL, SK",,
2369,,,16.5,4,Horton,8,3,"JL, SK",,
2380,,,22,4,Horton,8,3,"JL, SK",,
2297,,,20.5,4.5,Horton,10,3,"JL, SK",,
401,,,30,4.5,Horton,10,3,"JL, SK",,
2294,,,27.5,5,Horton,10,3,"JL, SK",,
2303,,,17.5,3.5,Horton,10,3,"JL, SK",,
2163,,,18,3.5,Horton,9,3,"JL, SK",,
2143,,,26,3.5,Horton,9,3,"JL, SK",,
2159,,,14.5,2,Horton,9,3,"JL, SK",,
2396,,,19,3,Horton,9,3,"JL, SK",,
2149,,,38.5,5,Horton,11,3,"JL, SK",,
2158,,,32,4.5,Horton,11,3,"JL, SK",,
2157,,,23.5,4.5,Horton,11,3,"JL, SK",,
2166,,,29,4,Horton,11,3,"JL, SK",,
2222,,,23.5,3,Horton,12,3,"IM, SK",,
2253,,,25,5,Horton,12,3,"IM, SK",,
2248,,,22,4.5,Horton,12,3,"IM, SK",,
2247,,,19.5,3,Horton,12,3,"IM, SK",,
2387,,,9.5,3,Horton,13,3,"JL, SK",,
2367,,,15,4,Horton,13,3,"JL, SK",,
2361,,,18,3.5,Horton,13,3,"JL, SK",,
2371,,,21,3,Horton,13,3,"JL, SK",,
2390,,,19.5,3.5,Horton,14,3,"JL, SK",,
2389,,,28.5,4,Horton,14,3,"JL, SK",,
2388,,,15.5,3,Horton,14,3,"JL, SK",,
2377,,,14.5,3,Horton,14,3,"JL, SK",,
402,,,15.5,3,Horton,15,3,"JL, SK",,
2397,,,13.5,4.5,Horton,15,3,"JL, SK",,
2202,,,18.5,4.5,Horton,15,3,"JL, SK",,
405,,,23,4.5,Horton,15,3,"JL, SK",,
2354,,,26,3.5,Horton,17,3,"IM, SK",,
2203,,,25,3,Horton,17,3,"IM, SK",,
2110,,,26,4,Horton,17,3,"IM, SK",,
2108,,,24.5,3.5,Horton,17,3,"IM, SK",,
2483,,,30,3,Horton,20,3,"KBK, CAE",,
